Date,Tweet
5/26/2022 23:23,RT @SolNataMD: Information fatigue is real. The brain can only handle so much before it becomes numb 👉🏻#Covid #LongCovid #War #RoeVWade #Wo…
5/26/2022 23:21,"Am I the only one hoping the #BoarderPatrol hero who killed #SalvadorRamos isn't #White?
If he is, the… https://t.co/Ux1QpEMevz"
5/26/2022 23:21,Oops there it is…#racism #UvaldeStrong https://t.co/2Ulb2IJS9e
5/26/2022 23:21,"On this MSN article about White Privilege. AWFUL https://t.co/RlUvK52Kkl
 #WhitePrivilege 
#WhiteSupremacy 
#racism"
5/26/2022 23:20,"RT @tololodj: The burning of the South African flag.

The Lifting of the apartheid flag.

The ANC government has allowed racism to continue…"
5/26/2022 23:19,RT @nikkiwatitdo: @jamalhbryant #America has a DISEASE!!!!🤨 #RACISM !!!
5/26/2022 23:18,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/26/2022 23:15,RT @Dnomyarnworb: Black MLB player called himself the new Jackie Robinson. A white  player then in fun referred to him as Jackie. The black…
5/26/2022 23:14,"RT @TudorChick1501: ""If you can convince the lowest white man he's better than the best colored man, he won't notice you're picking his poc…"
5/26/2022 23:12,#FirstNations #Inuit &amp; #Metis people have dealt with Systemic #Racism &amp; silver smooth Govt vitriol for generations… https://t.co/hgrs8o1FyW
5/26/2022 23:11,@dcexaminer @JoeBiden @JoeBiden is only unpopular because of #Racism... or #Sexism... or #Homophobia... or… https://t.co/m8FvNrqVsj
5/26/2022 23:09,@stevesilver72 As I said before the cops didn’t give a flyin rats ass about those little angels cuz they are brown.… https://t.co/9qkpCQrY0I
5/26/2022 23:06,"Spread this Engenes 
#enhypen #enhypenprotect #toxic #racism https://t.co/H16edwgsMz"
5/26/2022 23:03,"Gun packing Neo-Nazis
And disaffected youth 
Assemble 
On the other side of daylight 
To kill again 
We live hardco… https://t.co/x9d2rJhZ9K"
5/26/2022 23:02,@richardmarx Those countries aren’t as #Racist as #TheUSA We have too much #Racism here and #Unequality THE HATE IS REAL
5/26/2022 23:01,"RT @RaymondMollica: @JoshuaPotash @UARFNYC Hey, @NMalliotakis, you have something to say about this? These are YOUR constituents, your vote…"
5/26/2022 23:00,RT @DavidAce13510: #Taylor is not #INDIGENOUS nor does she speak on my behalf!! This is #hate needs to stop! #bullying #AntiWhite #HateCrim…
5/26/2022 23:00,"RT @Crow31Darkness: About time action was taken against Anti-White Racism. 
#itsokaytobewhite #antiwhite #WhitePeople #racism 
#CBC #Canada…"
5/26/2022 23:00,"Q: Why how well laws and orders are made is important?
A: https://t.co/F6Jo29jdHF

#TimeToBeWise
#climate… https://t.co/5mSnUmcPqV"
5/26/2022 22:59,"RT @RaymondMollica: @JoshuaPotash @UARFNYC Hey, @NMalliotakis, you have something to say about this? These are YOUR constituents, your vote…"
5/26/2022 22:59,"RT @TmplrPatriot: Click to expand. Where's the #media coverage on these? Oh, that's right, they're not #whitepeople! No white supremacy to…"
5/26/2022 22:57,@jamalhbryant #America has a DISEASE!!!!🤨 #RACISM !!!
5/26/2022 22:57,"Largest single day sporting event in the world #Indy500 this Sunday , yet the haters @espn have nothing on their ba… https://t.co/02oxSD19f1"
5/26/2022 22:54,RT @RacialHealthEq: Check out this blog and video about the special collection of papers from the COVID TaskForce on Racism &amp; Equity that a…
5/26/2022 22:48,"RT @TmplrPatriot: Click to expand. Where's the #media coverage on these? Oh, that's right, they're not #whitepeople! No white supremacy to…"
5/26/2022 22:47,"TRUTH ABOUT KOMAGATA MARU, CANADA

THE IMMIGRATION OFFICERS WHO DENIED ENTRY TO THE SICK SIKHS DID THE RIGHT THING… https://t.co/C6EH6KHeP2"
5/26/2022 22:46,RT @CanPaedSociety: The I’m not a racist! I just made a mistake - having difficult conversations with colleagues seminar is about to start…
5/26/2022 22:42,Pointy hats for pointy #racist heads. #BetoHasBalls these asses are #Cowards. #racism #BetoORourke #BetoForGovernor… https://t.co/DDnNNfi1iN
5/26/2022 22:42,In a surprise to no-one: #ScottMorrison &amp; the #LNP tried to pull a repeat of #JohnHoward's 2001 #ChildrenOverBoard… https://t.co/lSYOptA70A
5/26/2022 22:37,RT @ENAREurope: Bwalya went to #Lviv to help refugees fleeing 🇺🇦. After giving up her seat to a Ukrainian mother &amp; her baby in the car that…
5/26/2022 22:33,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:33,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 22:31,"By 10,000%. Murder, rape, assaults, Pedos and so on. 1962!!! Look it up.

#DemoncRATs goal in life is to… https://t.co/mZ74pMSWK2"
5/26/2022 22:30,"RT @expendablemudge: Never forget the role of #RacismInTech in the #BuffaloMassacre.
ALGORITHMS OF OPPRESSION details #racism in #BigTech &amp;…"
5/26/2022 22:30,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
